Student_ID,Student_Name,Gender,School_Name,Circuit,Attendance_Percent,Action_Zone,Math_Improvement,Math_Consistency,Mathematics_Assignments,Mathematics_Term1_Exam,Mathematics_Term2_Exam,Mathematics_Mock1,Mathematics_Mock2,Mathematics_Final_BECE,English_Language_Assignments,English_Language_Term1_Exam,English_Language_Term2_Exam,English_Language_Mock1,English_Language_Mock2,English_Language_Final_BECE,Integrated_Science_Assignments,Integrated_Science_Term1_Exam,Integrated_Science_Term2_Exam,Integrated_Science_Mock1,Integrated_Science_Mock2,Integrated_Science_Final_BECE,Social_Studies_Assignments,Social_Studies_Term1_Exam,Social_Studies_Term2_Exam,Social_Studies_Mock1,Social_Studies_Mock2,Social_Studies_Final_BECE,ICT_Assignments,ICT_Term1_Exam,ICT_Term2_Exam,ICT_Mock1,ICT_Mock2,ICT_Final_BECE,RME_Assignments,RME_Term1_Exam,RME_Term2_Exam,RME_Mock1,RME_Mock2,RME_Final_BECE,BDT_Assignments,BDT_Term1_Exam,BDT_Term2_Exam,BDT_Mock1,BDT_Mock2,BDT_Final_BECE,French_Assignments,French_Term1_Exam,French_Term2_Exam,French_Mock1,French_Mock2,French_Final_BECE,Ewe_Assignments,Ewe_Term1_Exam,Ewe_Term2_Exam,Ewe_Mock1,Ewe_Mock2,Ewe_Final_BECE
AK-JHS-0022,Aseye Agbeko,F,Avenorpedo JHS,Avenorpedo,87.6,4. STRUGGLER,7,3,94,95,58,43,81,67,56,84,93,86,57,52,89,82,95,50,87,49,75,37,59,95,67,84,94,43,37,88,64,50,77,37,40,85,50,47,81,42,42,74,38,65,54,68,93,54,81,81,67,62,60,35,95,66
AK-JHS-0023,Fafa Dzigba,F,Aflao Main JHS,Wlitey,69.5,4. STRUGGLER,1,7,81,59,54,93,68,43,93,86,40,73,81,82,66,68,45,68,80,39,40,43,76,92,73,76,91,87,59,84,59,53,51,78,39,82,88,66,90,70,80,75,76,86,65,45,70,42,37,70,82,78,40,83,59,50
AK-JHS-0024,Kwame Dzigba,M,Weta JHS,Avenorpedo,59.2,2. DIAMOND,15,9,41,75,80,92,60,67,92,83,85,54,79,54,43,44,63,69,72,76,38,60,80,43,51,50,80,72,73,90,80,45,91,75,75,42,46,39,95,53,77,94,92,41,55,40,62,71,35,36,37,61,39,47,79,37
AK-JHS-0025,Akua Dzigba,F,Avenorpedo JHS,Avenorpedo,72.9,4. STRUGGLER,12,5,57,95,47,56,51,74,42,52,91,82,71,36,74,57,56,89,75,51,35,85,46,35,48,48,89,43,36,36,86,72,62,90,83,63,76,49,94,65,50,70,36,52,45,52,79,40,61,52,87,50,94,90,80,67
AK-JHS-0026,Fafa Agbeko,F,Adidome JHS,Atidzive,83.1,4. STRUGGLER,-4,6,86,94,80,87,44,90,55,92,93,78,94,62,37,82,68,87,86,93,90,50,83,91,68,71,80,60,75,76,42,57,73,38,38,95,68,92,53,47,75,86,61,62,35,44,65,78,81,78,41,78,51,95,75,45
AK-JHS-0027,Kwadwo Agbeko,M,Xavi JHS,Akatsi B,71.3,1. FLYER,14,3,93,35,43,61,74,70,50,57,73,49,61,39,82,87,60,87,70,59,58,66,67,41,57,71,58,81,78,65,64,48,58,94,60,54,72,49,35,47,66,94,90,93,71,63,44,62,91,82,40,61,77,57,35,48
AK-JHS-0028,Yaw Dogbe,M,Akatsicoe Practice JHS,Akatsi A,79.0,4. STRUGGLER,10,10,54,95,45,46,64,86,86,77,42,52,49,86,85,47,65,89,53,71,39,48,89,88,38,80,82,70,78,60,57,84,61,56,79,48,64,47,89,74,61,65,79,71,72,93,68,82,49,77,52,52,59,75,41,74
AK-JHS-0029,Ama Dogbe,F,Akatsicoe Practice JHS,Akatsi A,65.6,4. STRUGGLER,-3,1,94,47,73,79,83,92,50,47,50,90,84,84,88,65,76,84,81,37,82,88,81,36,71,60,56,62,51,87,69,86,49,88,49,36,66,50,95,77,58,43,43,38,43,60,57,63,65,54,89,80,73,37,47,94
AK-JHS-0030,Prosper Gbedemah,M,Denu JHS,Wlitey,58.9,2. DIAMOND,11,8,69,59,74,71,43,59,57,52,66,42,82,41,81,86,77,52,41,36,41,83,47,74,75,39,42,58,86,55,79,92,45,41,73,73,49,53,67,71,59,71,41,89,49,47,74,51,37,67,92,92,80,44,41,65
AK-JHS-0031,Kwadwo Azumah,M,Kpota JHS,Akatsi A,46.2,2. DIAMOND,-3,5,45,59,48,37,55,45,90,75,64,74,94,35,83,43,47,78,36,42,80,35,74,78,38,67,59,91,89,67,79,76,46,69,90,61,76,51,71,90,61,41,91,44,59,71,58,94,58,60,57,88,90,76,92,41
AK-JHS-0032,Selasie Dogbe,M,Agbedrafor JHS,Akatsi B,44.6,2. DIAMOND,-1,3,79,68,39,95,64,73,52,59,89,80,51,58,44,41,46,43,43,91,86,46,62,38,67,74,51,76,77,59,88,64,48,56,57,51,59,76,72,46,75,93,94,81,54,60,71,63,76,91,37,87,78,62,74,52
AK-JHS-0033,Enyonam Ahiable,F,Denu JHS,Wlitey,87.3,1. FLYER,4,8,41,56,95,42,83,70,83,55,73,53,90,37,74,60,42,79,66,57,83,49,95,77,70,90,50,78,35,73,75,36,92,81,90,72,73,72,46,41,71,52,71,51,62,43,59,37,79,63,61,73,38,71,37,35
AK-JHS-0034,Ama Segbefia,F,Dzodze Penyi JHS,Wlitey,79.2,4. STRUGGLER,8,6,67,92,36,69,60,65,79,63,83,59,52,86,79,71,67,37,72,83,74,44,75,89,70,56,64,37,43,83,37,91,65,78,49,68,87,54,70,83,60,90,92,63,62,69,58,65,64,58,73,65,92,52,45,81
AK-JHS-0035,Godwin Ahiable,M,Kpota JHS,Akatsi A,73.6,2. DIAMOND,14,10,76,49,64,37,49,54,48,49,73,40,78,52,94,35,71,57,78,79,66,65,94,92,62,79,64,91,74,58,48,80,50,82,48,44,39,68,54,93,91,84,48,56,51,85,88,75,94,48,58,57,37,95,74,40
AK-JHS-0036,Akosua Segbefia,F,Awasive JHS,Akatsi B,90.4,1. FLYER,-1,7,56,83,75,69,66,39,73,46,95,43,41,55,68,62,37,66,54,73,48,80,81,84,53,59,87,54,52,71,68,71,92,55,55,70,36,60,93,54,51,52,58,61,84,74,35,81,60,43,90,57,46,91,41,65
AK-JHS-0037,Kwadwo Segbefia,M,Wute JHS,Gefia,86.9,4. STRUGGLER,12,1,61,65,78,87,83,76,59,44,86,86,48,40,72,85,62,56,67,72,59,40,73,72,68,58,87,82,62,50,94,79,85,85,89,80,79,68,57,68,38,79,74,54,84,57,66,72,52,47,39,50,86,36,60,36
AK-JHS-0038,Adjoa Azumah,F,Wute JHS,Gefia,98.1,4. STRUGGLER,4,5,36,78,90,52,87,50,81,52,55,56,66,88,80,59,77,77,77,61,90,36,85,79,89,90,35,59,86,59,74,67,51,62,68,94,56,83,70,94,63,76,48,69,40,54,70,76,52,69,55,48,91,81,72,62
AK-JHS-0039,Kofi Azumah,M,Hatsiukope JHS,Agbedrafor,50.0,4. STRUGGLER,-2,10,73,64,60,42,90,78,81,59,43,44,71,52,92,78,66,95,61,47,94,79,45,62,75,51,53,38,47,82,67,79,69,55,54,36,93,46,73,41,46,40,40,35,88,73,64,48,83,53,74,44,94,63,79,76
AK-JHS-0040,Ama Dzigba,F,Wlitey JHS,Wlitey,78.6,3. RISING STAR,9,5,51,93,81,88,42,77,46,77,68,39,42,93,92,60,39,57,63,83,85,69,44,35,92,54,78,49,86,70,90,67,58,85,52,46,89,43,57,64,57,52,52,52,77,45,79,45,72,62,61,93,92,45,86,95
AK-JHS-0041,Godwin Dogbe,M,Atidzive JHS,Atidzive,81.5,4. STRUGGLER,-5,1,45,95,46,67,45,48,78,74,39,71,73,85,75,91,39,44,95,84,61,95,80,93,66,84,82,44,79,45,46,78,72,53,95,71,68,37,44,91,94,73,66,69,76,55,49,61,75,41,71,62,64,74,46,87
AK-JHS-0042,Ama Dzigba,F,Aflao Main JHS,Wlitey,58.7,2. DIAMOND,-3,8,61,94,52,88,39,66,55,77,61,87,47,91,91,88,79,72,85,39,87,66,47,93,66,90,46,60,42,50,65,43,62,83,48,76,72,43,62,42,67,57,49,92,56,41,64,42,51,79,56,92,65,57,69,64
AK-JHS-0043,Ama Agbeko,F,Kpeve JHS,Avenorpedo,83.4,2. DIAMOND,13,2,50,52,47,48,45,83,59,74,79,91,71,79,36,93,72,94,78,51,86,94,89,47,45,71,53,35,35,93,73,73,83,65,91,41,43,38,88,42,82,94,47,80,47,88,37,43,83,78,37,74,76,66,87,76
AK-JHS-0044,Enyonam Dzigba,F,Akatsicoe Practice JHS,Akatsi A,73.8,4. STRUGGLER,9,7,40,66,60,59,52,50,59,74,76,72,35,70,69,63,54,80,49,52,68,91,40,79,58,91,53,39,56,51,93,89,78,57,55,81,80,86,44,37,95,43,89,73,81,44,59,88,65,39,59,35,63,35,88,91
AK-JHS-0045,Yaw Dzigba,M,Wute JHS,Gefia,62.2,1. FLYER,-1,4,49,82,48,40,53,86,50,78,70,92,72,82,36,82,83,90,60,52,40,91,72,41,42,62,60,65,49,86,93,67,42,47,88,83,77,61,73,94,81,48,81,85,89,74,67,44,60,69,75,67,67,84,85,84
AK-JHS-0046,Akosua Segbefia,F,Wlitey JHS,Wlitey,86.5,2. DIAMOND,6,6,74,37,68,35,65,66,84,55,40,71,77,49,66,86,92,92,54,78,59,60,37,79,70,78,84,45,88,39,62,58,95,76,65,62,74,48,75,50,62,82,92,86,67,50,48,75,60,70,55,63,78,62,39,51
AK-JHS-0047,Ama Kpodo,F,Atidzive JHS,Atidzive,99.1,2. DIAMOND,6,4,89,74,70,44,46,87,82,41,71,94,43,44,57,42,56,39,53,94,77,48,77,82,35,57,81,60,53,67,64,69,43,70,55,54,49,41,56,84,62,91,73,36,38,44,54,81,81,44,42,81,59,91,36,71
AK-JHS-0048,Adjoa Agbeko,F,Atidzive JHS,Atidzive,49.1,3. RISING STAR,13,1,48,79,42,94,78,44,88,52,40,66,59,40,85,83,85,88,39,47,52,79,65,49,80,47,95,74,67,81,46,41,42,83,45,60,55,94,67,70,62,74,54,38,73,89,85,95,61,87,94,48,35,87,50,79
AK-JHS-0049,Yaw Dzigba,M,Agbedrafor JHS,Akatsi B,58.1,1. FLYER,4,10,56,90,52,42,79,71,55,60,54,79,92,95,45,63,94,80,37,82,62,66,85,40,43,65,74,60,58,81,57,40,82,90,74,64,81,54,39,77,52,72,87,48,42,73,38,59,93,94,80,74,89,62,86,84
AK-JHS-0050,Kwadwo Segbefia,M,Dzogadze JHS,Agbedrafor,42.5,2. DIAMOND,6,5,88,68,47,62,35,80,79,86,58,38,87,84,88,49,86,82,70,88,95,62,73,67,37,57,95,57,92,49,37,54,80,90,95,55,42,90,55,46,57,93,85,51,75,48,41,43,63,79,87,54,64,37,59,94
AK-JHS-0051,Akua Kpodo,F,Denu JHS,Wlitey,80.2,1. FLYER,8,4,46,47,39,41,53,95,83,94,79,49,56,42,37,89,54,44,88,54,60,46,80,52,57,63,50,47,67,60,95,87,40,50,64,80,84,72,91,52,93,90,87,89,90,63,65,58,43,50,91,38,47,72,78,88
AK-JHS-0052,Akosua Dzigba,F,Kpeve JHS,Avenorpedo,62.0,2. DIAMOND,-4,7,91,55,65,79,94,39,82,49,93,51,83,42,95,52,64,52,38,49,56,78,56,74,56,71,44,45,60,76,85,72,84,78,76,61,46,91,61,44,60,93,48,78,71,79,70,43,82,40,78,86,77,95,83,82
AK-JHS-0053,Prosper Kpodo,M,Xavi JHS,Akatsi B,48.4,3. RISING STAR,8,2,43,85,87,74,56,90,79,70,83,36,39,84,45,89,94,93,88,64,45,45,52,87,47,81,35,90,90,89,72,93,63,87,54,86,44,49,52,77,78,78,51,43,55,69,92,72,41,87,89,49,75,66,93,61
AK-JHS-0054,Kofi Gbedemah,M,Hatsiukope JHS,Agbedrafor,79.2,2. DIAMOND,2,5,72,35,69,87,38,45,49,42,79,51,91,74,58,42,74,37,67,86,64,53,48,49,92,63,91,40,56,91,90,87,54,35,60,37,77,62,95,86,82,92,53,92,43,74,76,93,62,82,71,77,60,64,91,86
AK-JHS-0055,Adjoa Azumah,F,Avenorpedo JHS,Avenorpedo,87.2,1. FLYER,14,3,57,65,69,46,77,46,88,94,66,42,42,49,85,40,66,71,65,39,51,75,86,44,49,64,45,67,45,37,93,49,44,35,74,66,70,63,86,63,89,88,58,42,80,93,84,91,58,41,95,41,71,38,61,54
AK-JHS-0056,Adjoa Azumah,F,Wute JHS,Gefia,50.9,4. STRUGGLER,1,1,69,37,65,78,42,42,38,92,88,66,35,57,44,44,46,56,56,68,68,85,67,57,43,91,53,35,52,82,60,63,64,94,53,40,72,46,55,53,75,74,79,54,79,36,81,95,95,65,86,93,44,67,77,46
AK-JHS-0057,Adjoa Azumah,F,Xavi JHS,Akatsi B,88.1,2. DIAMOND,7,10,81,93,85,36,80,73,86,82,51,47,47,40,89,85,39,56,55,83,47,42,52,48,49,53,92,38,55,55,41,63,66,86,64,93,95,36,45,71,77,95,38,64,63,48,41,72,37,84,47,57,89,76,95,62
AK-JHS-0058,Kwadwo Dzigba,M,Wute JHS,Gefia,74.3,4. STRUGGLER,5,10,67,89,54,93,73,37,54,94,92,91,72,48,46,50,81,56,37,42,43,51,64,67,78,47,60,36,41,74,68,80,44,92,80,94,81,41,65,37,56,63,48,55,80,61,51,86,62,44,50,55,69,62,81,40
AK-JHS-0059,Ama Dogbe,F,Sogakope JHS,Atidzive,96.1,4. STRUGGLER,-4,7,59,85,94,35,37,40,52,73,89,95,95,93,62,76,56,65,83,84,64,82,51,47,82,42,47,63,60,58,52,41,66,65,75,70,67,64,60,60,70,78,75,67,76,60,57,77,42,49,70,83,95,49,63,60
AK-JHS-0060,Yaw Dogbe,M,Adidome JHS,Atidzive,53.3,3. RISING STAR,10,5,59,47,85,44,74,40,40,79,46,60,74,65,90,89,88,57,60,49,49,55,85,92,35,78,91,78,43,78,79,61,80,94,37,41,39,63,74,49,68,67,37,47,91,55,39,92,74,89,47,64,59,38,59,95
AK-JHS-0061,Selasie Kpodo,M,Wlitey JHS,Wlitey,66.1,1. FLYER,-1,8,42,49,54,70,61,88,68,47,44,60,41,78,42,47,37,92,89,93,41,95,79,55,94,69,62,47,93,50,84,67,74,63,40,61,46,64,67,68,51,88,52,66,46,60,54,91,49,45,75,59,74,67,72,78
AK-JHS-0062,Godwin Azumah,M,Abor Main JHS,Avenorpeme,64.4,4. STRUGGLER,-2,3,69,36,58,85,50,71,76,55,60,93,91,38,93,86,68,89,65,73,45,36,65,69,51,44,51,35,87,71,89,45,72,89,35,42,61,51,58,89,50,47,52,80,36,57,56,58,50,43,75,60,93,56,89,94
AK-JHS-0063,Emefa Agbeko,F,Akatsi Main JHS,Akatsi A,52.1,4. STRUGGLER,6,4,93,76,89,95,49,42,57,58,76,82,60,73,44,37,65,66,77,46,81,36,64,58,70,64,70,70,68,94,72,51,92,89,67,79,41,50,75,80,69,83,46,90,50,80,81,78,71,69,94,76,60,51,64,94
AK-JHS-0064,Fafa Agbeko,F,Akatsi Main JHS,Akatsi A,66.8,1. FLYER,-4,4,65,72,65,56,92,56,42,91,39,43,38,41,36,44,87,37,92,88,62,90,75,48,61,95,50,70,52,48,61,74,61,58,68,58,37,44,79,53,74,80,71,45,37,40,43,48,61,94,84,71,60,43,40,73
AK-JHS-0065,Ama Segbefia,F,Hatsiukope JHS,Agbedrafor,79.0,4. STRUGGLER,7,3,84,56,46,68,87,48,53,90,88,43,59,43,57,37,46,58,49,58,70,47,38,77,77,55,65,67,60,91,68,53,36,45,74,74,41,42,84,72,59,66,61,51,81,41,72,73,75,95,83,90,92,76,48,64
AK-JHS-0066,Selasie Segbefia,M,Kpeve JHS,Avenorpedo,60.0,2. DIAMOND,-3,7,36,82,50,43,76,41,35,89,80,81,63,65,69,47,73,46,46,76,42,94,95,52,66,84,90,50,90,61,55,78,56,63,83,46,39,69,76,71,47,52,92,88,54,62,41,74,94,38,83,81,70,60,45,58
AK-JHS-0067,Ama Dzigba,F,Dzogadze JHS,Agbedrafor,62.8,2. DIAMOND,12,2,42,89,43,47,59,84,46,41,67,64,60,81,57,52,86,69,93,80,47,94,39,39,45,81,53,65,36,54,68,38,70,93,76,35,35,66,48,63,78,93,79,50,39,44,53,46,85,66,46,73,66,54,60,40
AK-JHS-0068,Emefa Gbedemah,F,Kpeve JHS,Avenorpedo,76.6,1. FLYER,2,7,55,43,69,44,66,85,93,83,42,81,40,85,57,71,39,43,69,75,74,56,54,86,38,51,35,82,60,76,72,37,81,39,95,74,35,62,84,88,58,86,35,36,37,51,61,48,85,72,88,87,52,67,66,59
AK-JHS-0069,Akua Dzigba,F,Dabala JHS,Atidzive,81.1,1. FLYER,12,4,51,43,43,73,84,44,78,73,92,55,50,89,37,77,68,62,47,83,57,83,68,94,38,79,69,72,65,56,75,57,89,39,86,64,94,68,81,83,39,55,72,78,45,78,40,73,40,94,68,52,62,44,49,41
AK-JHS-0070,Selasie Gbedemah,M,Hatsiukope JHS,Agbedrafor,91.7,4. STRUGGLER,5,7,62,46,51,87,45,36,36,91,91,49,68,64,52,61,39,61,40,37,36,64,86,38,87,48,73,60,60,87,89,59,86,62,39,68,54,48,81,91,55,74,94,37,76,53,78,74,38,92,69,90,39,63,83,90
AK-JHS-0071,Kwadwo Segbefia,M,Lume Ahugakope JHS,Gefia,76.6,1. FLYER,-4,9,87,54,38,44,58,58,38,78,62,89,68,89,35,74,92,48,46,39,56,78,90,36,91,90,71,38,88,78,63,48,75,58,39,50,57,78,80,58,88,39,82,46,48,35,52,48,83,35,85,63,40,71,76,36
AK-JHS-0072,Selasie Kpodo,M,Denu JHS,Wlitey,47.4,3. RISING STAR,15,5,45,51,73,93,50,61,88,60,37,46,92,94,93,71,82,72,69,37,88,90,51,40,48,74,73,60,43,40,82,70,50,48,75,91,76,84,36,49,38,37,89,80,61,58,39,60,36,52,44,83,78,91,58,37
AK-JHS-0073,Akua Ahiable,F,Akatsi Main JHS,Akatsi A,55.6,4. STRUGGLER,-2,6,68,71,65,77,68,87,85,65,80,67,91,92,73,37,69,52,43,79,82,51,65,73,75,39,49,49,62,88,55,55,53,61,46,66,71,50,54,50,53,67,72,80,86,37,70,62,91,78,92,45,51,77,85,60
AK-JHS-0074,Adjoa Ahiable,F,Hatsiukope JHS,Agbedrafor,65.8,4. STRUGGLER,9,10,82,49,41,63,57,51,76,49,92,52,64,54,86,93,66,88,51,48,69,80,58,49,40,77,86,56,37,48,72,76,54,54,55,48,72,47,49,65,52,49,61,63,60,73,53,91,61,50,84,78,76,71,55,85
AK-JHS-0075,Akua Dogbe,F,Akatsi Main JHS,Akatsi A,72.8,2. DIAMOND,-4,9,46,88,67,35,59,54,65,68,36,89,73,69,64,41,71,64,85,82,41,92,47,41,74,79,37,49,77,55,64,91,91,62,77,88,94,69,60,62,73,40,67,58,52,92,74,72,62,45,59,89,72,88,45,57
AK-JHS-0076,Enyonam Kpodo,F,Aflao Main JHS,Wlitey,74.1,4. STRUGGLER,-3,10,94,90,64,68,77,86,81,58,41,73,51,93,43,71,35,35,93,63,43,38,59,49,37,85,42,51,76,76,76,77,56,37,68,68,50,63,78,56,76,85,86,85,87,79,62,86,77,55,47,61,78,68,93,80
AK-JHS-0077,Enyonam Kpodo,F,Adidome JHS,Atidzive,94.7,1. FLYER,12,3,92,61,73,92,73,74,52,65,72,46,92,74,85,54,84,80,68,61,61,81,53,62,95,93,77,75,94,87,74,48,83,62,55,86,72,62,37,57,43,54,43,70,40,41,46,37,92,73,43,53,60,80,36,82
